========== FINAL RESULTS ==========
Model Version: V6

Final Train Accuracy: 0.6572
Final Validation Accuracy: 0.4950

Test Loss: 1.2465
Test Accuracy: 0.5118

Classification Report:
              precision    recall  f1-score   support

           0     0.4518    0.3692    0.4063       279
           1     0.5341    0.6193    0.5735       633
           2     0.3750    0.2853    0.3241       389
           3     0.4983    0.5922    0.5412       510
           4     0.6445    0.5589    0.5987       399

    accuracy                         0.5118      2210
   macro avg     0.5007    0.4850    0.4888      2210
weighted avg     0.5074    0.5118    0.5056      2210

====================================

[Train] 512/8544 | Loss=1.5970 | Acc=0.2441
[Train] 1008/8544 | Loss=1.5882 | Acc=0.2460
[Train] 1504/8544 | Loss=1.5832 | Acc=0.2626
[Train] 2000/8544 | Loss=1.5725 | Acc=0.2800
[Train] 2512/8544 | Loss=1.5669 | Acc=0.2910
[Train] 3008/8544 | Loss=1.5576 | Acc=0.3049
[Train] 3504/8544 | Loss=1.5510 | Acc=0.3116
[Train] 4000/8544 | Loss=1.5391 | Acc=0.3230
[Train] 4512/8544 | Loss=1.5248 | Acc=0.3338
[Train] 5008/8544 | Loss=1.5060 | Acc=0.3435
[Train] 5504/8544 | Loss=1.4900 | Acc=0.3530
[Train] 6000/8544 | Loss=1.4730 | Acc=0.3602
[Train] 6512/8544 | Loss=1.4602 | Acc=0.3644
[Train] 7008/8544 | Loss=1.4420 | Acc=0.3743
[Train] 7504/8544 | Loss=1.4270 | Acc=0.3803
[Train] 8000/8544 | Loss=1.4142 | Acc=0.3830
[Train] 8512/8544 | Loss=1.4017 | Acc=0.3878
[Val] 512/1101 | Loss=1.1891 | Acc=0.4727
[Val] 1008/1101 | Loss=1.2022 | Acc=0.4603
[Train] 512/8544 | Loss=1.1878 | Acc=0.4902
[Train] 1008/8544 | Loss=1.1804 | Acc=0.4881
[Train] 1504/8544 | Loss=1.1784 | Acc=0.4920
[Train] 2000/8544 | Loss=1.1927 | Acc=0.4815
[Train] 2512/8544 | Loss=1.1951 | Acc=0.4809
[Train] 3008/8544 | Loss=1.1958 | Acc=0.4791
[Train] 3504/8544 | Loss=1.1932 | Acc=0.4806
[Train] 4000/8544 | Loss=1.1930 | Acc=0.4773
[Train] 4512/8544 | Loss=1.1901 | Acc=0.4798
[Train] 5008/8544 | Loss=1.1858 | Acc=0.4840
[Train] 5504/8544 | Loss=1.1906 | Acc=0.4786
[Train] 6000/8544 | Loss=1.1884 | Acc=0.4813
[Train] 6512/8544 | Loss=1.1890 | Acc=0.4797
[Train] 7008/8544 | Loss=1.1896 | Acc=0.4805
[Train] 7504/8544 | Loss=1.1852 | Acc=0.4805
[Train] 8000/8544 | Loss=1.1827 | Acc=0.4806
[Train] 8512/8544 | Loss=1.1851 | Acc=0.4799
[Val] 512/1101 | Loss=1.1361 | Acc=0.4746
[Val] 1008/1101 | Loss=1.1488 | Acc=0.4861
[Train] 512/8544 | Loss=1.1124 | Acc=0.4922
[Train] 1008/8544 | Loss=1.1033 | Acc=0.5089
[Train] 1504/8544 | Loss=1.1111 | Acc=0.5047
[Train] 2000/8544 | Loss=1.1239 | Acc=0.5050
[Train] 2512/8544 | Loss=1.1283 | Acc=0.5044
[Train] 3008/8544 | Loss=1.1324 | Acc=0.5007
[Train] 3504/8544 | Loss=1.1309 | Acc=0.5057
[Train] 4000/8544 | Loss=1.1343 | Acc=0.5070
[Train] 4512/8544 | Loss=1.1348 | Acc=0.5044
[Train] 5008/8544 | Loss=1.1378 | Acc=0.5034
[Train] 5504/8544 | Loss=1.1393 | Acc=0.5049
[Train] 6000/8544 | Loss=1.1394 | Acc=0.5025
