========== FINAL RESULTS ==========
Model Version: V1

Final Train Accuracy: 0.9870
Final Validation Accuracy: 0.4959

Test Loss: 2.8052
Test Accuracy: 0.5095

Classification Report:
              precision    recall  f1-score   support

           0     0.5445    0.3728    0.4426       279
           1     0.5688    0.4834    0.5226       633
           2     0.3326    0.3830    0.3560       389
           3     0.4962    0.6412    0.5595       510
           4     0.6417    0.6015    0.6210       399

    accuracy                         0.5095      2210
   macro avg     0.5168    0.4964    0.5003      2210
weighted avg     0.5206    0.5095    0.5094      2210

====================================

[Train] 512/8544 | Loss=1.5524 | Acc=0.3047
[Train] 1008/8544 | Loss=1.4833 | Acc=0.3442
[Train] 1504/8544 | Loss=1.4334 | Acc=0.3670
[Train] 2000/8544 | Loss=1.3792 | Acc=0.3920
[Train] 2512/8544 | Loss=1.3481 | Acc=0.4041
[Train] 3008/8544 | Loss=1.3150 | Acc=0.4189
[Train] 3504/8544 | Loss=1.2971 | Acc=0.4229
[Train] 4000/8544 | Loss=1.2760 | Acc=0.4305
[Train] 4512/8544 | Loss=1.2596 | Acc=0.4373
[Train] 5008/8544 | Loss=1.2505 | Acc=0.4445
[Train] 5504/8544 | Loss=1.2447 | Acc=0.4469
[Train] 6000/8544 | Loss=1.2362 | Acc=0.4487
[Train] 6512/8544 | Loss=1.2246 | Acc=0.4549
[Train] 7008/8544 | Loss=1.2147 | Acc=0.4596
[Train] 7504/8544 | Loss=1.2073 | Acc=0.4635
[Train] 8000/8544 | Loss=1.1989 | Acc=0.4667
[Train] 8512/8544 | Loss=1.1924 | Acc=0.4693
[Val] 512/1101 | Loss=1.0936 | Acc=0.5078
[Val] 1008/1101 | Loss=1.1079 | Acc=0.4990
Epoch 1: Train Acc=0.4695 | Val Acc=0.4886
[Train] 512/8544 | Loss=0.8441 | Acc=0.6621
[Train] 1008/8544 | Loss=0.8912 | Acc=0.6101
[Train] 1504/8544 | Loss=0.8918 | Acc=0.6117
[Train] 2000/8544 | Loss=0.8880 | Acc=0.6090
[Train] 2512/8544 | Loss=0.8824 | Acc=0.6150
[Train] 3008/8544 | Loss=0.8774 | Acc=0.6200
[Train] 3504/8544 | Loss=0.8813 | Acc=0.6136
[Train] 4000/8544 | Loss=0.8801 | Acc=0.6162
[Train] 4512/8544 | Loss=0.8841 | Acc=0.6128
[Train] 5008/8544 | Loss=0.8800 | Acc=0.6180
[Train] 5504/8544 | Loss=0.8797 | Acc=0.6177
[Train] 6000/8544 | Loss=0.8767 | Acc=0.6203
[Train] 6512/8544 | Loss=0.8726 | Acc=0.6247
[Train] 7008/8544 | Loss=0.8808 | Acc=0.6201
[Train] 7504/8544 | Loss=0.8784 | Acc=0.6198
[Train] 8000/8544 | Loss=0.8758 | Acc=0.6215
[Train] 8512/8544 | Loss=0.8802 | Acc=0.6197
[Val] 512/1101 | Loss=1.0842 | Acc=0.5273
[Val] 1008/1101 | Loss=1.0998 | Acc=0.5188
Epoch 2: Train Acc=0.6199 | Val Acc=0.5123
[Train] 512/8544 | Loss=0.6531 | Acc=0.7441
[Train] 1008/8544 | Loss=0.6218 | Acc=0.7649
[Train] 1504/8544 | Loss=0.6121 | Acc=0.7560
[Train] 2000/8544 | Loss=0.6013 | Acc=0.7605
[Train] 2512/8544 | Loss=0.6103 | Acc=0.7568
[Train] 3008/8544 | Loss=0.6159 | Acc=0.7490
[Train] 3504/8544 | Loss=0.6108 | Acc=0.7514
[Train] 4000/8544 | Loss=0.6155 | Acc=0.7488
[Train] 4512/8544 | Loss=0.6154 | Acc=0.7493
[Train] 5008/8544 | Loss=0.6196 | Acc=0.7478
[Train] 5504/8544 | Loss=0.6189 | Acc=0.7476
[Train] 6000/8544 | Loss=0.6198 | Acc=0.7473
[Train] 6512/8544 | Loss=0.6186 | Acc=0.7474
[Train] 7008/8544 | Loss=0.6191 | Acc=0.7471
[Train] 7504/8544 | Loss=0.6195 | Acc=0.7471
[Train] 8000/8544 | Loss=0.6203 | Acc=0.7474
[Train] 8512/8544 | Loss=0.6196 | Acc=0.7477
[Val] 512/1101 | Loss=1.2633 | Acc=0.5234
[Val] 1008/1101 | Loss=1.3097 | Acc=0.5089
Epoch 3: Train Acc=0.7474 | Val Acc=0.4977
[Train] 512/8544 | Loss=0.4298 | Acc=0.8438
[Train] 1008/8544 | Loss=0.4096 | Acc=0.8562
[Train] 1504/8544 | Loss=0.4049 | Acc=0.8511
[Train] 2000/8544 | Loss=0.3758 | Acc=0.8625
[Train] 2512/8544 | Loss=0.3924 | Acc=0.8551
[Train] 3008/8544 | Loss=0.3903 | Acc=0.8547
[Train] 3504/8544 | Loss=0.3911 | Acc=0.8525
[Train] 4000/8544 | Loss=0.3902 | Acc=0.8525
[Train] 4512/8544 | Loss=0.3939 | Acc=0.8522
[Train] 5008/8544 | Loss=0.3968 | Acc=0.8492
[Train] 5504/8544 | Loss=0.3965 | Acc=0.8483
[Train] 6000/8544 | Loss=0.3921 | Acc=0.8498
[Train] 6512/8544 | Loss=0.3944 | Acc=0.8490
[Train] 7008/8544 | Loss=0.3925 | Acc=0.8512
[Train] 7504/8544 | Loss=0.3879 | Acc=0.8527
[Train] 8000/8544 | Loss=0.3889 | Acc=0.8520
[Train] 8512/8544 | Loss=0.3889 | Acc=0.8523
[Val] 512/1101 | Loss=1.5259 | Acc=0.5156
[Val] 1008/1101 | Loss=1.6095 | Acc=0.5069
Epoch 4: Train Acc=0.8522 | Val Acc=0.4977
[Train] 512/8544 | Loss=0.2334 | Acc=0.9355
[Train] 1008/8544 | Loss=0.2378 | Acc=0.9335
[Train] 1504/8544 | Loss=0.2353 | Acc=0.9255
[Train] 2000/8544 | Loss=0.2346 | Acc=0.9235
[Train] 2512/8544 | Loss=0.2455 | Acc=0.9196
[Train] 3008/8544 | Loss=0.2471 | Acc=0.9192
[Train] 3504/8544 | Loss=0.2508 | Acc=0.9164
[Train] 4000/8544 | Loss=0.2593 | Acc=0.9115
[Train] 4512/8544 | Loss=0.2582 | Acc=0.9116
[Train] 5008/8544 | Loss=0.2547 | Acc=0.9121
[Train] 5504/8544 | Loss=0.2566 | Acc=0.9108
[Train] 6000/8544 | Loss=0.2570 | Acc=0.9103
[Train] 6512/8544 | Loss=0.2584 | Acc=0.9102
[Train] 7008/8544 | Loss=0.2598 | Acc=0.9098
[Train] 7504/8544 | Loss=0.2583 | Acc=0.9094
[Train] 8000/8544 | Loss=0.2572 | Acc=0.9101
[Train] 8512/8544 | Loss=0.2564 | Acc=0.9102
[Val] 512/1101 | Loss=1.7725 | Acc=0.5156
[Val] 1008/1101 | Loss=1.8418 | Acc=0.5149
Epoch 5: Train Acc=0.9103 | Val Acc=0.5059
[Train] 512/8544 | Loss=0.1502 | Acc=0.9473
[Train] 1008/8544 | Loss=0.1473 | Acc=0.9514
[Train] 1504/8544 | Loss=0.1495 | Acc=0.9495
[Train] 2000/8544 | Loss=0.1491 | Acc=0.9485
[Train] 2512/8544 | Loss=0.1436 | Acc=0.9506
[Train] 3008/8544 | Loss=0.1413 | Acc=0.9508
[Train] 3504/8544 | Loss=0.1470 | Acc=0.9495
[Train] 4000/8544 | Loss=0.1466 | Acc=0.9500
[Train] 4512/8544 | Loss=0.1448 | Acc=0.9506
[Train] 5008/8544 | Loss=0.1475 | Acc=0.9501
[Train] 5504/8544 | Loss=0.1482 | Acc=0.9495
[Train] 6000/8544 | Loss=0.1503 | Acc=0.9488
[Train] 6512/8544 | Loss=0.1522 | Acc=0.9482
[Train] 7008/8544 | Loss=0.1522 | Acc=0.9478
[Train] 7504/8544 | Loss=0.1560 | Acc=0.9471
[Train] 8000/8544 | Loss=0.1603 | Acc=0.9450
[Train] 8512/8544 | Loss=0.1613 | Acc=0.9450
[Val] 512/1101 | Loss=1.9797 | Acc=0.5117
[Val] 1008/1101 | Loss=2.0209 | Acc=0.5069
Epoch 6: Train Acc=0.9449 | Val Acc=0.4986
[Train] 512/8544 | Loss=0.1171 | Acc=0.9531
[Train] 1008/8544 | Loss=0.1115 | Acc=0.9554
[Train] 1504/8544 | Loss=0.1041 | Acc=0.9601
[Train] 2000/8544 | Loss=0.0989 | Acc=0.9615
[Train] 2512/8544 | Loss=0.0952 | Acc=0.9634
[Train] 3008/8544 | Loss=0.0983 | Acc=0.9648
[Train] 3504/8544 | Loss=0.1010 | Acc=0.9643
[Train] 4000/8544 | Loss=0.1057 | Acc=0.9633
[Train] 4512/8544 | Loss=0.1041 | Acc=0.9632
[Train] 5008/8544 | Loss=0.1085 | Acc=0.9627
[Train] 5504/8544 | Loss=0.1107 | Acc=0.9617
[Train] 6000/8544 | Loss=0.1136 | Acc=0.9607
[Train] 6512/8544 | Loss=0.1175 | Acc=0.9595
[Train] 7008/8544 | Loss=0.1218 | Acc=0.9570
[Train] 7504/8544 | Loss=0.1228 | Acc=0.9570
[Train] 8000/8544 | Loss=0.1226 | Acc=0.9569
[Train] 8512/8544 | Loss=0.1212 | Acc=0.9576
[Val] 512/1101 | Loss=2.1791 | Acc=0.5020
[Val] 1008/1101 | Loss=2.2628 | Acc=0.4891
Epoch 7: Train Acc=0.9577 | Val Acc=0.4814
[Train] 512/8544 | Loss=0.0813 | Acc=0.9785
[Train] 1008/8544 | Loss=0.0779 | Acc=0.9762
[Train] 1504/8544 | Loss=0.0879 | Acc=0.9707
[Train] 2000/8544 | Loss=0.0925 | Acc=0.9700
[Train] 2512/8544 | Loss=0.0846 | Acc=0.9733
[Train] 3008/8544 | Loss=0.0850 | Acc=0.9734
[Train] 3504/8544 | Loss=0.0863 | Acc=0.9715
[Train] 4000/8544 | Loss=0.0847 | Acc=0.9718
[Train] 4512/8544 | Loss=0.0878 | Acc=0.9705
[Train] 5008/8544 | Loss=0.0914 | Acc=0.9696
[Train] 5504/8544 | Loss=0.0924 | Acc=0.9693
[Train] 6000/8544 | Loss=0.0900 | Acc=0.9703
[Train] 6512/8544 | Loss=0.0939 | Acc=0.9696
[Train] 7008/8544 | Loss=0.0943 | Acc=0.9695
[Train] 7504/8544 | Loss=0.0919 | Acc=0.9704
[Train] 8000/8544 | Loss=0.0920 | Acc=0.9704
[Train] 8512/8544 | Loss=0.0920 | Acc=0.9705
