========== FINAL RESULTS ==========
Model Version: V4

Final Train Accuracy: 0.9727
Final Validation Accuracy: 0.4923

Test Loss: 2.5716
Test Accuracy: 0.5249

Classification Report:
              precision    recall  f1-score   support

           0     0.5962    0.3333    0.4276       279
           1     0.5765    0.5893    0.5828       633
           2     0.3596    0.3753    0.3673       389
           3     0.4857    0.7000    0.5735       510
           4     0.7180    0.4787    0.5744       399

    accuracy                         0.5249      2210
   macro avg     0.5472    0.4953    0.5051      2210
weighted avg     0.5454    0.5249    0.5216      2210

====================================

[Train] 512/8544 | Loss=1.5963 | Acc=0.2480
[Train] 1008/8544 | Loss=1.5816 | Acc=0.2788
[Train] 1504/8544 | Loss=1.5391 | Acc=0.3324
[Train] 2000/8544 | Loss=1.4900 | Acc=0.3605
[Train] 2512/8544 | Loss=1.4534 | Acc=0.3790
[Train] 3008/8544 | Loss=1.4303 | Acc=0.3873
[Train] 3504/8544 | Loss=1.3975 | Acc=0.4010
[Train] 4000/8544 | Loss=1.3786 | Acc=0.4073
[Train] 4512/8544 | Loss=1.3627 | Acc=0.4109
[Train] 5008/8544 | Loss=1.3451 | Acc=0.4187
[Train] 5504/8544 | Loss=1.3353 | Acc=0.4215
[Train] 6000/8544 | Loss=1.3229 | Acc=0.4257
[Train] 6512/8544 | Loss=1.3105 | Acc=0.4329
[Train] 7008/8544 | Loss=1.2999 | Acc=0.4379
[Train] 7504/8544 | Loss=1.2862 | Acc=0.4412
[Train] 8000/8544 | Loss=1.2770 | Acc=0.4449
[Train] 8512/8544 | Loss=1.2707 | Acc=0.4494
[Val] 512/1101 | Loss=1.1287 | Acc=0.4648
[Val] 1008/1101 | Loss=1.1446 | Acc=0.4673
[Train] 512/8544 | Loss=0.9876 | Acc=0.5801
[Train] 1008/8544 | Loss=0.9920 | Acc=0.5625
[Train] 1504/8544 | Loss=0.9801 | Acc=0.5685
[Train] 2000/8544 | Loss=0.9768 | Acc=0.5735
[Train] 2512/8544 | Loss=0.9791 | Acc=0.5725
[Train] 3008/8544 | Loss=0.9768 | Acc=0.5751
[Train] 3504/8544 | Loss=0.9806 | Acc=0.5693
[Train] 4000/8544 | Loss=0.9739 | Acc=0.5765
[Train] 4512/8544 | Loss=0.9745 | Acc=0.5758
[Train] 5008/8544 | Loss=0.9788 | Acc=0.5735
[Train] 5504/8544 | Loss=0.9725 | Acc=0.5770
[Train] 6000/8544 | Loss=0.9742 | Acc=0.5755
[Train] 6512/8544 | Loss=0.9742 | Acc=0.5760
[Train] 7008/8544 | Loss=0.9751 | Acc=0.5752
[Train] 7504/8544 | Loss=0.9733 | Acc=0.5770
[Train] 8000/8544 | Loss=0.9705 | Acc=0.5780
[Train] 8512/8544 | Loss=0.9684 | Acc=0.5802
[Val] 512/1101 | Loss=1.0946 | Acc=0.5176
[Val] 1008/1101 | Loss=1.1187 | Acc=0.5198
[Train] 512/8544 | Loss=0.7227 | Acc=0.7266
[Train] 1008/8544 | Loss=0.7403 | Acc=0.7054
[Train] 1504/8544 | Loss=0.7370 | Acc=0.7061
[Train] 2000/8544 | Loss=0.7318 | Acc=0.7100
[Train] 2512/8544 | Loss=0.7329 | Acc=0.7094
[Train] 3008/8544 | Loss=0.7237 | Acc=0.7128
[Train] 3504/8544 | Loss=0.7339 | Acc=0.7095
[Train] 4000/8544 | Loss=0.7381 | Acc=0.7070
[Train] 4512/8544 | Loss=0.7387 | Acc=0.7052
[Train] 5008/8544 | Loss=0.7371 | Acc=0.7057
[Train] 5504/8544 | Loss=0.7366 | Acc=0.7064
[Train] 6000/8544 | Loss=0.7398 | Acc=0.7027
[Train] 6512/8544 | Loss=0.7441 | Acc=0.7006
[Train] 7008/8544 | Loss=0.7442 | Acc=0.7002
[Train] 7504/8544 | Loss=0.7408 | Acc=0.7011
[Train] 8000/8544 | Loss=0.7421 | Acc=0.7010
[Train] 8512/8544 | Loss=0.7442 | Acc=0.7004
[Val] 512/1101 | Loss=1.1951 | Acc=0.5234
[Val] 1008/1101 | Loss=1.2174 | Acc=0.5268
[Train] 512/8544 | Loss=0.5688 | Acc=0.8086
[Train] 1008/8544 | Loss=0.5509 | Acc=0.8145
[Train] 1504/8544 | Loss=0.5481 | Acc=0.8105
[Train] 2000/8544 | Loss=0.5466 | Acc=0.8055
[Train] 2512/8544 | Loss=0.5466 | Acc=0.8021
[Train] 3008/8544 | Loss=0.5458 | Acc=0.7999
[Train] 3504/8544 | Loss=0.5500 | Acc=0.7985
[Train] 4000/8544 | Loss=0.5524 | Acc=0.7983
[Train] 4512/8544 | Loss=0.5461 | Acc=0.8008
[Train] 5008/8544 | Loss=0.5429 | Acc=0.8011
[Train] 5504/8544 | Loss=0.5442 | Acc=0.7998
[Train] 6000/8544 | Loss=0.5486 | Acc=0.7972
[Train] 6512/8544 | Loss=0.5478 | Acc=0.7987
[Train] 7008/8544 | Loss=0.5492 | Acc=0.7989
[Train] 7504/8544 | Loss=0.5471 | Acc=0.7992
[Train] 8000/8544 | Loss=0.5508 | Acc=0.7967
[Train] 8512/8544 | Loss=0.5497 | Acc=0.7966
[Val] 512/1101 | Loss=1.3118 | Acc=0.5645
[Val] 1008/1101 | Loss=1.3407 | Acc=0.5367
[Train] 512/8544 | Loss=0.3769 | Acc=0.8691
[Train] 1008/8544 | Loss=0.3770 | Acc=0.8700
[Train] 1504/8544 | Loss=0.3772 | Acc=0.8730
[Train] 2000/8544 | Loss=0.3932 | Acc=0.8590
[Train] 2512/8544 | Loss=0.3835 | Acc=0.8650
[Train] 3008/8544 | Loss=0.3755 | Acc=0.8690
[Train] 3504/8544 | Loss=0.3802 | Acc=0.8693
[Train] 4000/8544 | Loss=0.3761 | Acc=0.8708
[Train] 4512/8544 | Loss=0.3776 | Acc=0.8692
[Train] 5008/8544 | Loss=0.3797 | Acc=0.8688
[Train] 5504/8544 | Loss=0.3827 | Acc=0.8676
[Train] 6000/8544 | Loss=0.3817 | Acc=0.8677
[Train] 6512/8544 | Loss=0.3857 | Acc=0.8644
[Train] 7008/8544 | Loss=0.3875 | Acc=0.8643
[Train] 7504/8544 | Loss=0.3888 | Acc=0.8633
[Train] 8000/8544 | Loss=0.3847 | Acc=0.8658
[Train] 8512/8544 | Loss=0.3892 | Acc=0.8640
