========== FINAL RESULTS ==========
Model Version: V2

Final Train Accuracy: 0.9827
Final Validation Accuracy: 0.4995

Test Loss: 2.6124
Test Accuracy: 0.5131

Classification Report:
              precision    recall  f1-score   support

           0     0.4590    0.5412    0.4967       279
           1     0.5728    0.5592    0.5659       633
           2     0.3884    0.3625    0.3750       389
           3     0.4953    0.6137    0.5482       510
           4     0.6530    0.4386    0.5247       399

    accuracy                         0.5131      2210
   macro avg     0.5137    0.5031    0.5021      2210
weighted avg     0.5226    0.5131    0.5121      2210

====================================

[Train] 512/8544 | Loss=1.5817 | Acc=0.2715
[Train] 1008/8544 | Loss=1.5555 | Acc=0.3036
[Train] 1504/8544 | Loss=1.5162 | Acc=0.3438
[Train] 2000/8544 | Loss=1.4791 | Acc=0.3590
[Train] 2512/8544 | Loss=1.4456 | Acc=0.3734
[Train] 3008/8544 | Loss=1.4131 | Acc=0.3853
[Train] 3504/8544 | Loss=1.3811 | Acc=0.3970
[Train] 4000/8544 | Loss=1.3601 | Acc=0.4057
[Train] 4512/8544 | Loss=1.3449 | Acc=0.4122
[Train] 5008/8544 | Loss=1.3339 | Acc=0.4173
[Train] 5504/8544 | Loss=1.3158 | Acc=0.4262
[Train] 6000/8544 | Loss=1.3037 | Acc=0.4318
[Train] 6512/8544 | Loss=1.2934 | Acc=0.4361
[Train] 7008/8544 | Loss=1.2836 | Acc=0.4414
[Train] 7504/8544 | Loss=1.2739 | Acc=0.4476
[Train] 8000/8544 | Loss=1.2665 | Acc=0.4506
[Train] 8512/8544 | Loss=1.2571 | Acc=0.4534
[Val] 512/1101 | Loss=1.1150 | Acc=0.5098
[Val] 1008/1101 | Loss=1.1075 | Acc=0.5208
Epoch 1: Train Acc=0.4537 | Val Acc=0.5141
[Train] 512/8544 | Loss=0.9421 | Acc=0.6191
[Train] 1008/8544 | Loss=0.9462 | Acc=0.6081
[Train] 1504/8544 | Loss=0.9398 | Acc=0.6144
[Train] 2000/8544 | Loss=0.9486 | Acc=0.6145
[Train] 2512/8544 | Loss=0.9583 | Acc=0.6083
[Train] 3008/8544 | Loss=0.9600 | Acc=0.6027
[Train] 3504/8544 | Loss=0.9640 | Acc=0.5990
[Train] 4000/8544 | Loss=0.9682 | Acc=0.5990
[Train] 4512/8544 | Loss=0.9643 | Acc=0.6006
[Train] 5008/8544 | Loss=0.9616 | Acc=0.6002
[Train] 5504/8544 | Loss=0.9613 | Acc=0.5950
[Train] 6000/8544 | Loss=0.9606 | Acc=0.5960
[Train] 6512/8544 | Loss=0.9593 | Acc=0.5961
[Train] 7008/8544 | Loss=0.9591 | Acc=0.5939
[Train] 7504/8544 | Loss=0.9625 | Acc=0.5901
[Train] 8000/8544 | Loss=0.9631 | Acc=0.5890
[Train] 8512/8544 | Loss=0.9631 | Acc=0.5902
[Val] 512/1101 | Loss=1.0749 | Acc=0.5430
[Val] 1008/1101 | Loss=1.0872 | Acc=0.5218
Epoch 2: Train Acc=0.5904 | Val Acc=0.5132
[Train] 512/8544 | Loss=0.6932 | Acc=0.7520
[Train] 1008/8544 | Loss=0.7086 | Acc=0.7431
[Train] 1504/8544 | Loss=0.6954 | Acc=0.7347
[Train] 2000/8544 | Loss=0.6807 | Acc=0.7400
[Train] 2512/8544 | Loss=0.6776 | Acc=0.7452
[Train] 3008/8544 | Loss=0.6902 | Acc=0.7370
[Train] 3504/8544 | Loss=0.7007 | Acc=0.7314
[Train] 4000/8544 | Loss=0.7173 | Acc=0.7218
[Train] 4512/8544 | Loss=0.7213 | Acc=0.7179
[Train] 5008/8544 | Loss=0.7241 | Acc=0.7169
[Train] 5504/8544 | Loss=0.7280 | Acc=0.7135
[Train] 6000/8544 | Loss=0.7288 | Acc=0.7142
[Train] 6512/8544 | Loss=0.7322 | Acc=0.7118
[Train] 7008/8544 | Loss=0.7351 | Acc=0.7109
[Train] 7504/8544 | Loss=0.7355 | Acc=0.7100
[Train] 8000/8544 | Loss=0.7343 | Acc=0.7105
[Train] 8512/8544 | Loss=0.7339 | Acc=0.7113
[Val] 512/1101 | Loss=1.2576 | Acc=0.5059
[Val] 1008/1101 | Loss=1.2695 | Acc=0.5050
Epoch 3: Train Acc=0.7110 | Val Acc=0.4923
[Train] 512/8544 | Loss=0.5193 | Acc=0.8242
[Train] 1008/8544 | Loss=0.5117 | Acc=0.8185
[Train] 1504/8544 | Loss=0.5282 | Acc=0.8132
[Train] 2000/8544 | Loss=0.5203 | Acc=0.8175
[Train] 2512/8544 | Loss=0.5232 | Acc=0.8157
[Train] 3008/8544 | Loss=0.5221 | Acc=0.8125
