========== FINAL RESULTS ==========
Model Version: V3

Final Train Accuracy: 0.9709
Final Validation Accuracy: 0.4959

Test Loss: 2.9201
Test Accuracy: 0.5186

Classification Report:
              precision    recall  f1-score   support

           0     0.4704    0.5125    0.4906       279
           1     0.5727    0.5103    0.5397       633
           2     0.3902    0.3059    0.3429       389
           3     0.4861    0.6843    0.5684       510
           4     0.6646    0.5313    0.5905       399

    accuracy                         0.5186      2210
   macro avg     0.5168    0.5089    0.5064      2210
weighted avg     0.5243    0.5186    0.5147      2210

====================================

[Train] 512/8544 | Loss=1.5891 | Acc=0.2734
[Train] 1008/8544 | Loss=1.5628 | Acc=0.2966
[Train] 1504/8544 | Loss=1.5221 | Acc=0.3438
[Train] 2000/8544 | Loss=1.4900 | Acc=0.3555
[Train] 2512/8544 | Loss=1.4494 | Acc=0.3718
[Train] 3008/8544 | Loss=1.4164 | Acc=0.3830
[Train] 3504/8544 | Loss=1.3928 | Acc=0.3944
[Train] 4000/8544 | Loss=1.3677 | Acc=0.4037
[Train] 4512/8544 | Loss=1.3444 | Acc=0.4138
[Train] 5008/8544 | Loss=1.3252 | Acc=0.4203
[Train] 5504/8544 | Loss=1.3124 | Acc=0.4233
[Train] 6000/8544 | Loss=1.3033 | Acc=0.4265
[Train] 6512/8544 | Loss=1.2929 | Acc=0.4307
[Train] 7008/8544 | Loss=1.2855 | Acc=0.4348
[Train] 7504/8544 | Loss=1.2799 | Acc=0.4368
[Train] 8000/8544 | Loss=1.2735 | Acc=0.4399
[Train] 8512/8544 | Loss=1.2657 | Acc=0.4442
[Val] 512/1101 | Loss=1.1281 | Acc=0.4785
[Val] 1008/1101 | Loss=1.1477 | Acc=0.4871
Epoch 1: Train Acc=0.4441 | Val Acc=0.4787
[Train] 512/8544 | Loss=1.0664 | Acc=0.5410
[Train] 1008/8544 | Loss=1.0712 | Acc=0.5327
[Train] 1504/8544 | Loss=1.0689 | Acc=0.5359
[Train] 2000/8544 | Loss=1.0714 | Acc=0.5280
[Train] 2512/8544 | Loss=1.0633 | Acc=0.5342
[Train] 3008/8544 | Loss=1.0690 | Acc=0.5293
[Train] 3504/8544 | Loss=1.0721 | Acc=0.5260
[Train] 4000/8544 | Loss=1.0709 | Acc=0.5272
[Train] 4512/8544 | Loss=1.0637 | Acc=0.5324
